Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
UltraCoin,UTC,"$818,106",$0.02,"45,833,021","$1,994",8.42%,1.55%,-39.97%
808Coin,808,"$813,750",$0.00,"3,978,187,849","$5,730",0.17%,40.11%,13.51%
Argentum,ARG,"$812,468",$0.09,"9,045,055","$1,878",-0.14%,-10.64%,-17.31%
Visio,VISIO,"$807,972",$0.02,"50,957,192 *","$4,210",-0.08%,-9.79%,-39.95%
Opal,OPAL,"$789,370",$0.05,"15,145,684 *",$516,-2.76%,5.73%,-18.32%
Phoenixcoin,PXC,"$771,360",$0.01,"64,448,636","$1,040",-0.14%,23.57%,-3.27%
AmsterdamCoin,AMS,"$767,592",$0.02,"50,201,886","$4,021",-0.08%,14.13%,-22.84%
MojoCoin,MOJO,"$760,120",$0.06,"12,171,682 *","$5,607",-5.26%,-42.62%,-16.14%
Minereum,MNE,"$759,614",$0.34,"2,250,068 *","$6,365",-1.71%,10.73%,-24.12%
Billionaire T...,XBL,"$743,960",$0.23,"3,268,274 *","$1,248",-0.08%,2.40%,-24.46%
SuperCoin,SUPER,"$743,685",$0.02,"48,107,254","$1,081",-0.08%,2.00%,-42.62%
iEthereum,IETH,"$733,083",$0.04,"17,982,000 *","$4,913",1.75%,11.06%,-8.07%
Joulecoin,XJO,"$727,823",$0.02,"35,115,391","$1,499",1.24%,20.25%,-24.42%
DROXNE,DRXNE,"$714,111",$0.01,"67,854,847 *","$1,263",-0.08%,3.51%,-40.64%
Roofs,ROOFS,"$710,895",$0.01,"130,000,000 *","$15,469",3.77%,24.11%,83.97%
Blakecoin,BLC,"$706,357",$0.05,"15,122,697",$854,-0.14%,4.77%,-24.12%
Pakcoin,PAK,"$702,255",$0.01,"49,547,050","$5,008",-0.59%,0.73%,-29.53%
Manna,MANNA,"$701,818",$0.02,"43,673,073 *","$1,703",-0.08%,15.53%,-12.40%
SwagBucks,BUCKS,"$682,242",$1.88,"363,440",$918,-0.16%,-0.07%,-26.88%
Pioneer Coin,PCOIN,"$674,036",$0.29,"2,291,392","$7,464",-1.33%,9.80%,-23.14%
MACRON,MCRN,"$669,523",$0.00,"401,421,401 *","$2,587",-6.30%,35.88%,15.18%
HiCoin,XHI,"$665,580",$0.00,"189,729,990","$42,015",-0.12%,4.95%,-20.46%
CryptoInsight,TKR,"$659,913",$0.05,"12,529,747 *","$1,540",0.15%,37.94%,-20.22%
Nyancoin,NYAN,"$658,780",$0.00,,"$4,808",-0.14%,-1.32%,-38.67%
Desire,DSR,"$654,862",$0.65,"1,012,637","$137,654",-1.22%,-3.98%,-13.19%
PureVidz,VIDZ,"$653,893",$0.01,"125,279,775 *",$728,-5.64%,-11.64%,-37.00%
Chronos,CRX,"$652,049",$0.01,"73,729,962",$556,12.72%,42.66%,-7.25%
Steneum Coin,STN,"$651,344",$0.29,"2,250,825 *","$7,084",-0.09%,3.60%,-43.97%
Sugar Exchange,SGR,"$640,283",$0.18,"3,500,000 *","$13,718",-2.47%,13.52%,67.09%
Bitgem,BTG,"$605,685",$10.06,"60,196","$41,917",-0.62%,7.72%,18.54%
Coin2.1,C2,"$604,683",$0.01,"78,245,975 *","$5,965",-0.06%,24.62%,28.90%
Motocoin,MOTO,"$570,453",$0.03,"19,017,206",$583,-0.08%,5.50%,-22.04%
WavesGo,WGO,"$568,460",$0.06,"9,503,724 *",$886,-0.66%,-7.64%,-48.13%
GoldBlocks,GB,"$564,125",$0.04,"15,420,405",$544,-5.84%,-2.50%,-33.20%
CoinonatX,XCXT,"$551,847",$0.03,"18,304,160","$2,197",-2.13%,-11.46%,-21.04%
Kayicoin,KAYI,"$549,657",$0.00,"284,345,719 *","$4,378",2.30%,12.86%,-7.20%
WhaleCoin,WHL,"$538,886",$0.08,"7,096,100","$56,465",-6.06%,-2.22%,-16.06%
DaxxCoin,DAXX,"$525,356",$0.00,"509,173,960","$1,286",-0.08%,2.24%,-28.37%
Kurrent,KURT,"$507,014",$0.01,"61,364,813","$2,552",-3.51%,-1.98%,-40.49%
DigiCube,CUBE,"$501,262",$0.00,"2,429,126,009 *","$1,230",-0.14%,5.60%,-48.78%
Crystal Clear,CCT,"$498,689",$0.10,"5,123,099 *","$3,750",0.16%,24.94%,-3.99%
AdCoin,ACC,"$492,603",$0.09,"5,768,911","$1,641",-0.11%,9.41%,-22.61%
LiteBar,LTB,"$487,976",$0.55,"884,509","$2,173",-0.14%,3.70%,-26.16%
ZoZoCoin,ZZC,"$487,830",$0.83,"590,751","$2,376",-0.08%,7.89%,-1.31%
bitBTC,BITBTC,"$482,896","$11,490.60",42 *,$754,-3.57%,?,-15.97%
Advanced Inte...,AIB,"$481,692",$0.02,"23,876,767",$960,-0.69%,4.12%,86.36%
Newbium,NEWB,"$479,105",$0.01,"50,000,000 *","$1,479",0.12%,-12.26%,-31.72%
TOKYO,TOKC,"$475,332",$0.00,"123,260,403 *","$5,401",-8.65%,-6.74%,-26.20%
Bolivarcoin,BOLI,"$474,537",$0.05,"9,274,450","$1,829",-0.07%,-0.92%,-18.15%
ChanCoin,CHAN,"$462,929",$0.06,"7,391,615","$3,041",-0.08%,2.41%,-3.30%
PostCoin,POST,"$454,014",$0.03,"15,868,233 *","$20,777",-0.30%,12.28%,-27.99%
BigUp,BIGUP,"$448,478",$0.00,"2,137,572,489","$2,153",0.22%,-25.78%,-33.07%
Litecoin Plus,LCP,"$443,051",$0.41,"1,073,514 *","$8,276",-0.14%,8.45%,-11.64%
KushCoin,KUSH,"$440,133",$0.08,"5,494,198",$602,-0.20%,22.58%,-23.32%
TEKcoin,TEK,"$437,697",$0.00,"1,414,054,562","$10,375",-0.14%,1.49%,-20.17%
Ethereum Dark,ETHD,"$436,473",$0.29,"1,500,000","$10,224",-0.22%,17.29%,-13.94%
RedCoin,RED,"$435,838",$0.01,"74,107,896","$1,261",-3.00%,0.46%,-7.82%
DIBCOIN,DIBC,"$430,582",$0.09,"5,000,000 *",$700,0.63%,16.70%,26.05%
Mincoin,MNC,"$425,500",$0.10,"4,257,173","$1,168",38.97%,45.14%,16.30%
Influxcoin,INFX,"$417,777",$0.25,"1,673,383","$19,628",-3.11%,0.30%,-22.17%
Virta Unique ...,VUC,"$413,943",$0.01,"61,722,250","$5,220",-0.14%,6.77%,67.53%
Philosopher S...,PHS,"$413,284",$0.07,"6,014,340 *",$535,-1.56%,2.77%,-18.41%
Senderon,SDRN,"$412,400",$0.01,"43,922,901 *","$1,607",5.66%,-3.51%,-25.47%
Mineum,MNM,"$405,196",$0.04,"9,436,367","$5,735",-0.11%,-18.04%,-20.29%
Prime-XI,PXI,"$396,001",$0.02,"19,207,610",$878,-0.14%,8.19%,-17.33%
EOT Token,EOT,"$386,195",$0.02,"21,947,883 *","$19,511",7.26%,1.74%,-26.94%
Evil Coin,EVIL,"$384,480",$0.02,"21,020,383","$12,759",-1.28%,-7.99%,-32.93%
LeaCoin,LEA,"$383,098",$0.00,"337,543,295",$711,-0.14%,-4.14%,-33.70%
OctoCoin,888,"$381,399",$0.01,"52,809,254","$2,189",-1.55%,1.24%,-13.78%
Zlancer,ZCG,"$376,169",$0.19,"2,007,615 *",$679,-0.08%,24.66%,-30.83%
Dashcoin,DSH,"$372,642",$0.02,"17,574,970",$844,-0.66%,5.03%,-37.64%
Pascal Lite,PASL,"$372,563",$0.07,"5,022,100","$2,970",-0.14%,-5.57%,-17.50%
Quebecoin,QBC,"$370,583",$0.02,"15,414,992","$49,875",-21.76%,-48.21%,70.53%
SagaCoin,SAGA,"$361,911",$1.63,"221,789","$52,128",-0.16%,1.00%,-17.10%
Bitcoin Planet,BTPL,"$358,169",$0.06,"6,323,098","$1,506",-0.08%,-2.25%,-43.52%
C-Bit,XCT,"$357,797",$0.00,"157,625,875",$536,-0.08%,3.79%,-25.69%
Ripto Bux,RBX,"$353,064",$0.00,"381,236,123 *","$2,854",-0.14%,138.57%,175.01%
Rubies,RBIES,"$352,476",$0.03,"10,415,252 *","$3,271",-0.08%,-2.16%,-18.50%
BriaCoin,BRIA,"$347,713",$0.49,"702,592 *","$12,157",0.00%,-5.83%,28.62%
GlassCoin,GLS,"$345,116",$0.12,"2,815,551",$550,33.23%,43.19%,-39.64%
NevaCoin,NEVA,"$340,175",$0.13,"2,624,300",$546,-0.14%,-8.08%,-26.35%
Dix Asset,DIX,"$339,522",$0.00,"100,000,000,000 *","$4,696",-0.31%,71.32%,10.06%
bitGold,BITGOLD,"$333,186","$1,716.04",194 *,$716,-0.03%,?,5.20%
TagCoin,TAG,"$329,936",$0.05,"6,312,639",$849,10.65%,26.39%,-24.58%
Atomic Coin,ATOM,"$324,961",$0.02,"14,768,472","$2,846",-1.76%,0.45%,-12.50%
Mao Zedong,MAO,"$321,490",$0.05,"6,244,256",$588,-0.14%,8.23%,-9.97%
GlobalBoost-Y,BSTY,"$321,175",$0.02,"13,794,912","$1,586",-0.08%,2.13%,-25.56%
VoteCoin,VOT,"$314,786",$0.02,"16,474,625",$518,-0.07%,44.21%,-21.34%
Bitcoin Fast,BCF,"$308,805",$0.05,"5,985,872","$2,831",-0.14%,1.19%,-39.55%
GameUnits,UNITS,"$299,691",$0.09,"3,472,983 *",$513,1.17%,-7.57%,-32.78%
ParallelCoin,DUO,"$292,310",$0.93,"314,367","$4,235",0.62%,-5.29%,-24.96%
PoSToken,POS,"$290,148",$0.30,"968,107 *","$5,738",-8.92%,-14.86%,-39.04%
LiteBitcoin,LBTC,"$288,716",$0.01,"28,940,333","$5,276",0.07%,5.00%,-8.20%
QuazarCoin,QCN,"$282,168",$0.04,"6,836,947","$1,621",-0.14%,-4.82%,-30.79%
Dalecoin,DALC,"$271,197",$0.59,"461,762 *","$1,772",-0.24%,24.83%,-38.89%
Onix,ONX,"$266,063",$0.01,"27,432,814","$2,383",-0.08%,-9.62%,-54.84%
Qbic,QBIC,"$264,503",$1.28,"206,730","$19,894",-5.90%,15.21%,-56.20%
BitCoal,COAL,"$263,535",$0.06,"4,500,000",$965,0.13%,5.71%,-22.82%
YENTEN,YTN,"$263,183",$0.06,"4,055,278",$747,-0.14%,8.54%,-17.90%
Madcoin,MDC,"$253,885",$0.14,"1,819,612",$572,-1.44%,-2.95%,-52.10%
Global Tour Coin,GTC,"$249,781",$0.01,"29,887,402","$3,101",-0.08%,9.88%,-7.16%
ReeCoin,REE,"$236,419",$0.00,"2,560,000,000",$971,-0.01%,0.02%,-44.03%
RonPaulCoin,RPC,"$235,084",$0.26,"912,147","$1,020",-0.14%,10.11%,-18.16%
AllSafe,ASAFE2,"$228,516",$0.03,"8,200,310 *","$3,231",-0.07%,-17.69%,-35.72%
Veltor,VLT,"$222,583",$0.40,"554,855",$712,-0.14%,20.06%,-0.03%
FinCoin,FNC,"$222,310",$0.02,"12,878,667 *",$667,2.12%,-6.27%,-23.01%
EcoCoin,ECO,"$220,958",$0.19,"1,155,235","$2,132",-0.16%,0.03%,-4.18%
SixEleven,611,"$213,464",$0.49,"439,135","$2,973",-11.12%,-36.41%,-50.37%
BipCoin,BIP,"$213,397",$0.13,"1,627,261","$1,138",1.29%,-12.89%,-39.93%
Acoin,ACOIN,"$202,767",$0.17,"1,220,085","$1,487",-0.14%,-5.92%,-19.21%
EagleCoin,EAGLE,"$199,771",$0.10,"2,093,421 *","$2,813",2.62%,-15.37%,-20.03%
PayCon,CON,"$199,709",$0.01,"23,042,604 *","$5,502",-6.74%,4.77%,-18.21%
CacheCoin,CACH,"$196,462",$0.05,"4,195,132","$36,595",0.15%,36.61%,-15.65%
TajCoin,TAJ,"$192,864",$0.02,"8,482,730","$1,226",-0.16%,-1.96%,-34.89%
BoostCoin,BOST,"$184,706",$0.02,"11,855,487","$1,883",-0.08%,62.18%,10.70%
Eryllium,ERY,"$178,513",$0.03,"5,616,315","$1,074",-0.08%,8.19%,-34.49%
Allion,ALL,"$175,483",$0.03,"6,199,359",$861,-0.10%,22.06%,-2.95%
GPU Coin,GPU,"$174,707",$0.00,"40,477,042","$1,415",-0.14%,18.17%,-9.81%
300 Token,300,"$171,740",$572.47,300 *,"$1,234",-0.08%,-1.31%,-27.73%
GoldPieces,GP,"$161,176",$0.13,"1,220,161 *","$1,065",-0.03%,13.03%,-22.65%
X-Coin,XCO,"$161,010",$0.01,"12,384,976 *","$1,125",-0.14%,2.23%,-17.85%
Enigma,XNG,"$159,250",$0.25,"626,402",$560,-0.08%,-2.98%,-25.92%
Digital Rupees,DRS,"$158,110",$0.00,"510,802,961 *",$565,-0.08%,-0.57%,-48.30%
BnrtxCoin,BNX,"$156,657",$0.01,"28,647,501","$1,010",-0.08%,-0.87%,-7.21%
Speedcash,SCS,"$153,946",$0.50,"310,844",$647,-0.08%,8.45%,49.08%
Comet,CMT,"$149,979",$0.17,"872,830",$991,-0.25%,17.07%,-32.84%
Gold Pressed ...,GPL,"$146,950",$0.57,"256,527","$1,291",-0.08%,12.75%,-15.99%
LiteCoin Ultra,LTCU,"$141,053",$0.14,"999,302","$37,695",3.40%,40.63%,48.44%
Theresa May Coin,MAY,"$140,065",$0.00,"33,110,000",$905,0.06%,-7.18%,-9.98%
HempCoin,HMP,"$139,976",$0.00,"1,356,645,470","$1,134",-0.08%,8.48%,-9.79%
Kronecoin,KRONE,"$134,262",$0.02,"5,467,502","$3,142",-0.38%,8.15%,-22.98%
SONO,ALTCOM,"$131,336",$0.63,"208,674","$1,715",-1.49%,39.66%,-45.14%
Beatcoin,XBTS,"$131,076",$0.09,"1,524,686","$1,224",-0.14%,-45.57%,-55.77%
Slevin,SLEVIN,"$130,004",$0.00,"70,000,000 *","$1,579",-0.14%,22.00%,56.38%
SongCoin,SONG,"$127,680",$0.00,"32,565,300","$1,227",-1.34%,-1.46%,-5.30%
Artex Coin,ATX,"$125,961",$0.01,"18,781,750","$1,773",1.42%,5.08%,27.49%
FuzzBalls,FUZZ,"$112,435",$0.02,"4,829,945","$1,043",-0.08%,-41.91%,-45.83%
Master Swiscoin,MSCN,"$112,123",$0.00,"45,143,320 *","$2,807",4.07%,0.94%,-14.79%
Iconic,ICON,"$99,841",$0.17,"592,894 *","$8,732",2.63%,-15.34%,-61.26%
VapersCoin,VPRC,"$88,389",$0.00,"780,124,964","$2,423",-0.23%,-4.65%,-23.56%
Uro,URO,"$87,322",$0.07,"1,207,310","$11,889",3.55%,48.77%,31.15%
WomenCoin,WOMEN,"$81,177",$0.00,"44,220,400","$16,672",3.98%,25.92%,6.30%
AnarchistsPrime,ACP,"$59,808",$0.01,"4,394,874","$1,719",8.81%,26.32%,-12.11%
Cabbage,CAB,"$57,418",$0.01,"10,499,996 *","$2,551",5.91%,139.60%,83.64%
BOAT,BOAT,"$57,412",$0.00,"18,547,845",$602,-0.08%,3.68%,-45.41%
GeertCoin,GEERT,"$53,695",$0.01,"5,091,200","$1,094",-0.14%,5.37%,-26.13%
Tychocoin,TYCHO,"$49,248",$0.01,"5,024,368",$601,-0.08%,98.18%,-9.26%
GBCGoldCoin,GBC,"$47,367",$0.00,"11,361,817","$2,056",-4.45%,-5.28%,14.49%
Rawcoin,XRC,"$41,787",$0.06,"704,882","$19,965",-4.12%,39.07%,147.69%
Save and Gain,SANDG,"$41,108",$0.01,"3,064,800","$3,412",-7.22%,?,91.65%
Veros,VRS,"$37,105",$0.00,"486,609,040 *","$2,510",-0.29%,-6.49%,-14.65%
AgrolifeCoin,AGLC,"$35,327",$0.00,"8,559,780 *","$2,327",-25.99%,-14.21%,-23.23%
Argus,ARGUS,"$26,052",$0.02,"1,148,324",$678,-0.08%,5.20%,-21.33%
Concoin,CONX,"$22,270",$0.03,"744,266","$2,415",-0.08%,-11.13%,36.25%
Ulatech,ULA,"$22,194",$0.10,"213,187","$92,684",0.42%,45.55%,-45.01%
CrevaCoin,CREVA,"$18,774",$0.00,"36,390,750",$987,-0.08%,10.79%,-21.43%
Project-X,NANOX,"$15,989","$204,292",0.07826400 *,"$2,271",-0.14%,27.50%,-29.32%
Coupecoin,COUPE,"$15,666",$0.00,"218,281,462 *","$1,178",0.16%,98.08%,-45.10%
Vault Coin,VLTC,"$9,405",$0.00,"30,385,540","$7,625",-0.08%,-15.59%,-48.39%
EXRNchain,EXRN,"$8,760",$0.00,"150,000,000 *","$12,788",0.15%,2.29%,-23.81%
Aerium,AERM,"$8,265",$0.01,"1,521,492","$2,030",-1.82%,-16.07%,-56.12%
PRCoin,PRC,"$7,615",$0.00,"18,450,200","$13,887",-0.14%,-13.25%,66.72%
LevoPlus,LVPS,"$6,967",$0.00,"2,046,078","$2,051",9.83%,9.50%,-32.79%
Tristar Coin,TSTR,"$5,188",$0.00,"5,027,857","$1,897",-0.14%,35.56%,7.88%
HarmonyCoin,HMC,"$3,556",$0.01,"561,235","$12,295",-2.33%,8.44%,-23.21%
Digital Money...,DMB,"$1,782",$0.00,"421,300","$2,813",-0.08%,-1.16%,-18.58%
Rise,RISE,"$53,441,302",$0.44,"121,152,695 *",$0,?,0.57%,-14.79%
Peerplays,PPY,"$28,988,707",$7.33,"3,957,281 *",$103,-0.08%,44.60%,22.51%
Target Coin,TGT,"$16,718,764",$0.02,"952,429,892 *",$281,-0.14%,14.30%,-19.44%
Ecobit,ECOB,"$12,839,911",$0.03,"444,444,444 *",$74,-0.14%,12.05%,-16.68%
Tao,XTO,"$12,685,015",$0.39,"32,802,396",$392,-0.14%,15.10%,-15.43%
Prospectors Gold,PGL,"$11,166,950",$0.17,"64,500,000 *",$0,?,7.11%,?
AsiaCoin,AC,"$8,900,532",$0.01,"1,347,875,107",$370,-0.08%,-0.82%,-17.52%
REX,REX,"$7,536,399",$0.87,"8,660,756 *",$0,?,7.73%,8.84%
Virtacoin,VTA,"$7,177,028",$0.00,"5,201,310,113",$40,-0.35%,206.05%,-19.68%
Xenon,XNN,"$7,030,860",$0.02,"300,000,000 *",$454,0.14%,1.63%,10.01%
EncryptoTel [...,ETT,"$6,037,319",$0.10,"62,131,190 *",$88,-0.14%,-14.88%,8.28%
Goodomy,GOOD,"$4,069,226",$0.01,"457,350,000 *",$168,0.98%,0.21%,-23.89%
LuckChain,BASH,"$3,914,325",$0.01,"715,868,299",$253,-0.08%,21.98%,-17.13%
BlueCoin,BLU,"$3,433,580",$0.01,"574,683,675",$238,-1.60%,2.10%,-20.34%
YashCoin,YASH,"$3,095,425",$0.31,"10,000,305 *",$83,-0.14%,8.48%,?
Ergo,EFYT,"$2,851,069",$7.18,"397,300 *",$36,-0.62%,3.50%,-24.15%
Chronologic,DAY,"$2,821,387",$4.52,"624,434 *",$128,-0.05%,-7.75%,-1.36%
FundYourselfNow,FYN,"$2,777,078",$3.27,"850,000 *",$18,0.15%,-3.49%,-12.47%
Crypto Bullion,CBX,"$2,721,634",$2.70,"1,009,841",$337,-0.08%,2.67%,-18.77%
Version,V,"$2,243,466",$0.00,"483,193,301",$488,-0.14%,-2.74%,-27.61%
LeafCoin,LEAF,"$2,175,023",$0.00,"21,080,296,750",$262,-0.14%,8.48%,-9.79%
ICO OpenLedger,ICOO,"$2,121,641",$4.55,"465,952 *",$14,0.10%,8.98%,-1.16%
Shorty,SHORTY,"$2,074,740",$0.02,"100,000,000 *",$0,?,9.07%,31.45%
Etheriya,RIYA,"$1,867,693",$1.18,"1,581,531 *",$105,-0.08%,-11.54%,-23.66%
KekCoin,KEK,"$1,852,297",$0.18,"10,547,845 *",$18,-0.08%,8.48%,-21.78%
FlutterCoin,FLT,"$1,846,313",$0.00,"436,450,711",$205,-0.14%,5.90%,-17.77%
InPay,INPAY,"$1,798,810",$0.18,"10,000,000 *",$0,?,?,-3.28%
Universe,UNI,"$1,747,144",$0.10,"16,687,459 *",$445,-13.70%,-4.31%,-29.52%
ShadowCash,SDC,"$1,633,023",$0.24,"6,695,133 *",$1,-0.08%,-4.81%,-58.23%
Bitpark Coin,BPC,"$1,624,013",$0.02,"75,000,000 *",$157,-1.48%,26.94%,43.83%
Bitstar,BITS,"$1,593,100",$0.07,"23,079,737",$148,-0.14%,18.78%,14.73%
StarCredits,STRC,"$1,593,014",$0.35,"4,500,000 *",$26,-0.14%,?,-8.99%
Orbitcoin,ORB,"$1,574,950",$0.50,"3,152,504",$295,-0.08%,8.48%,-12.19%
Zetacoin,ZET,"$1,558,861",$0.01,"167,635,660",$271,-0.11%,12.02%,-11.79%
Piggycoin,PIGGY,"$1,462,186",$0.00,"489,413,194",$381,-0.09%,8.31%,-0.82%
Monster Byte,MBI,"$1,380,083",$0.08,"16,822,736 *",$0,?,8.05%,11.32%
HOdlcoin,HODL,"$1,305,654",$0.01,"164,342,925",$485,-0.08%,5.73%,-23.50%
Kolion,KLN,"$1,206,900",$2.01,"600,000",$65,-0.98%,4.25%,-18.64%
SmartCoin,SMC,"$1,158,755",$0.05,"24,006,185",$449,-0.08%,4.27%,-16.97%
HitCoin,HTC,"$1,134,578",$0.00,"10,996,318,099",$202,-0.14%,8.48%,-9.79%
iTicoin,ITI,"$1,088,288",$34.01,"32,000 *",$289,-0.63%,1.46%,-23.66%
Rustbits,RUSTBITS,"$1,085,067",$0.03,"35,300,866 *",$0,?,?,?
Titcoin,TIT,"$1,019,001",$0.02,"49,898,202",$347,-3.03%,74.02%,-10.09%
UniCoin,UNIC,"$1,009,614",$0.34,"2,987,847",$130,-0.14%,8.25%,-4.73%
Triangles,TRI,"$949,795",$8.98,"105,810",$77,-0.08%,5.19%,-9.44%
GAIA,GAIA,"$915,115",$0.04,"24,101,381 *",$143,-0.08%,-1.43%,-15.63%
Ultimate Secu...,USC,"$908,150",$0.09,"10,343,113",$0,?,9.09%,-23.23%
Grimcoin,GRIM,"$848,662",$0.01,"73,919,509",$241,0.19%,-8.35%,-13.24%
Flycoin,FLY,"$824,437",$3.91,"210,806 *",$0,?,?,8.68%
BTCtalkcoin,TALK,"$821,859",$0.01,"65,290,635",$30,-0.14%,9.33%,-13.49%
eBitcoinCash,EBCH,"$815,077",$0.09,"9,285,500 *",$144,2.34%,-10.28%,4.38%
Cypher,CYP,"$815,037",$0.13,"6,365,285 *",$277,-0.08%,3.55%,101.40%
Bit20,BTWTY,"$766,266","$754,199",1 *,$75,0.10%,3.68%,-18.96%
Octanox,OTX,"$727,919",$0.09,"8,500,001 *",$363,-0.08%,4.69%,-31.20%
PayCoin,XPY,"$722,510",$0.06,"11,866,970",$203,-0.47%,9.77%,-15.40%
Eternity,ENT,"$708,827",$0.17,"4,143,149",$464,0.41%,9.81%,-30.09%
Bitz,BITZ,"$697,797",$0.35,"1,990,891",$14,-0.08%,?,-10.47%
Signatum,SIGT,"$690,704",$0.01,"107,972,766 *",$61,-0.08%,8.48%,-11.22%
SecureCoin,SRC,"$686,228",$0.08,"8,495,896",$239,-0.08%,1.86%,-33.97%
Sterlingcoin,SLG,"$660,687",$0.16,"4,225,992",$302,0.08%,13.29%,-19.07%
Tattoocoin (S...,TSE,"$634,408",$0.01,"90,421,856 *",$174,-0.08%,2.45%,-9.86%
Confido,CFD,"$632,012",$0.07,"9,000,000 *",$421,0.16%,4.60%,-29.75%
Valorbit,VAL,"$630,121",$0.00,"6,107,123,655",$1,-0.08%,8.48%,-9.79%
Tigercoin,TGC,"$628,885",$0.01,"43,536,800",$334,-0.08%,2.61%,-19.15%
Gapcoin,GAP,"$625,345",$0.05,"12,600,527",$288,-0.08%,11.79%,-8.43%
BlockPay,BLOCKPAY,"$611,856",$0.11,"5,428,300 *",$78,0.01%,-15.31%,2.38%
DigitalDevelo...,DDF,"$606,530",$0.12,"5,118,307 *",$302,0.15%,3.10%,-18.80%
Bitcurrency,BTCR,"$594,959",$0.00,"169,598,616 *",$4,-0.14%,15.26%,-25.95%
Truckcoin,TRK,"$569,523",$0.00,"172,494,345 *",$86,-0.08%,0.57%,3.61%
WayGuide,WAY,"$567,709",$0.01,"100,040,708 *",$4,-0.08%,24.32%,-2.31%
iCoin,ICN,"$565,066",$0.02,"29,444,144",$126,-0.14%,18.44%,45.36%
Bankcoin,B@,"$551,824",$0.05,"10,291,781 *",$0,?,3.44%,-25.22%
Sativacoin,STV,"$538,686",$0.08,"7,089,780",$387,-0.08%,42.46%,-9.32%
GlobalCoin,GLC,"$537,936",$0.01,"65,171,010",$6,-0.08%,?,2.97%
FIMKrypto,FIMK,"$533,851",$0.00,"577,004,618 *",$0,?,13.85%,-73.07%
GlobalToken,GLT,"$492,232",$0.02,"27,971,200",$158,0.50%,7.20%,-29.82%
VirtualCoin,VC,"$488,052",$0.05,"10,064,287",$109,-0.08%,?,-8.62%
Colossuscoin V2,CV2,"$486,754",$0.00,"2,358,819,009 *",$113,-0.14%,-27.68%,-9.79%
Swing,SWING,"$486,634",$0.16,"3,040,910",$210,-0.08%,18.78%,-3.05%
GoldReserve,XGR,"$485,447",$0.03,"17,171,382",$110,-0.08%,7.30%,-16.49%
8Bit,8BIT,"$481,606",$0.33,"1,467,841 *",$482,-0.08%,-9.85%,-41.25%
Fujinto,NTO,"$475,254",$0.01,"65,802,448 *",$443,-0.14%,22.05%,-25.33%
Prototanium,PR,"$470,039",$2.39,"196,448",$99,-18.13%,-2.72%,-35.81%
Coin(O),CNO,"$466,962",$0.00,"105,251,206",$220,-0.08%,19.60%,-11.86%
FUNCoin,FUNC,"$456,912",$0.08,"5,848,581 *",$228,-0.05%,-3.56%,-45.79%
Ratecoin,XRA,"$444,980",$0.00,"121,226,369 *",$198,-0.49%,22.87%,-10.94%
Crypto,CTO,"$442,227",$0.03,"13,222,347",$0,?,8.89%,32.62%
ChessCoin,CHESS,"$441,561",$0.01,"54,032,769 *",$138,-0.08%,-2.44%,-14.86%
AquariusCoin,ARCO,"$436,836",$0.27,"1,613,994 *",$388,-0.14%,7.97%,-17.55%
Joincoin,J,"$429,768",$0.14,"3,060,484",$9,-0.10%,8.16%,-5.14%
Marscoin,MARS,"$428,912",$0.02,"28,279,074",$484,-0.14%,11.46%,-15.76%
Cashcoin,CASH,"$427,961",$0.01,"47,675,905",$3,-0.08%,8.48%,3.27%
SatoshiMadness,MAD,"$412,851",$0.00,"2,000,683,485 *",$124,-0.14%,25.33%,34.05%
RevolverCoin,XRE,"$409,652",$0.02,"22,558,820",$44,-0.08%,6.66%,-7.74%
bitSilver,BITSILVER,"$371,642",$16.93,"21,947 *",$0,0.10%,-19.07%,-19.18%
Freicoin,FRC,"$368,754",$0.01,"30,287,777",$38,-0.14%,4.92%,3.35%
BERNcash,BERN,"$366,094",$0.01,"71,234,301",$371,-12.41%,17.62%,-41.78%
AmberCoin,AMBER,"$356,196",$0.01,"43,699,481",$271,-0.08%,26.03%,-50.51%
PX,PX,"$355,132",$0.00,"98,341,177",$64,-0.14%,-25.55%,-19.01%
Helleniccoin,HNC,"$351,664",$0.01,"65,526,381",$320,-0.08%,9.96%,-12.11%
Virtacoinplus,XVP,"$341,624",$0.03,"10,928,643",$245,-0.05%,13.40%,-1.35%
Independent M...,IMS,"$341,158",$0.06,"5,368,934",$0,?,12.44%,-10.69%
Xios,XIOS,"$340,708",$0.16,"2,149,688",$383,1.28%,19.97%,-5.11%
Emerald Crypto,EMD,"$337,291",$0.02,"19,117,129",$76,-0.14%,-3.89%,-22.87%
Eurocoin,EUC,"$335,652",$0.03,"12,416,554",$233,-0.08%,7.53%,-19.62%
Honey,HONEY,"$334,079",$0.75,"445,317",$266,0.07%,6.14%,-3.83%
SoonCoin,SOON,"$333,039",$0.03,"12,462,620 *",$257,-0.08%,7.26%,-27.66%
CannaCoin,CCN,"$332,272",$0.07,"4,701,295",$383,-0.29%,-4.61%,-23.48%
Jin Coin,JIN,"$319,616",$0.03,"9,960,524",$3,-0.08%,-15.64%,9.88%
Darsek,KED,"$299,218",$0.02,"17,575,943",$189,-0.14%,8.45%,-2.49%
